,Word,Uncertainty,Litigious,Positive,Negative
0,abandon,0,0,0,1
1,abandoned,0,0,0,1
2,abandoning,0,0,0,1
3,abandonment,0,0,0,1
4,abandonments,0,0,0,1
5,abandons,0,0,0,1
6,abdicated,0,0,0,0
7,abdicates,0,0,0,0
8,abdicating,0,0,0,0
9,abdication,0,0,0,0
10,abdications,0,0,0,0
11,aberrant,0,0,0,1
12,aberration,0,0,0,0
13,aberrational,0,0,0,0
14,aberrations,0,0,0,1
15,abetting,0,0,0,0
16,abeyance,0,0,0,0
17,abeyances,0,0,0,0
18,able,0,0,0,0
19,abnormal,0,0,0,1
20,abnormalities,0,0,0,1
21,abnormality,0,0,0,0
22,abnormally,0,0,0,0
23,abolish,0,0,0,0
24,abolished,0,1,0,0
25,abolishes,0,0,0,0
26,abolishing,0,0,0,0
27,abovementioned,0,0,0,0
28,abrogate,0,0,0,0
29,abrogated,0,0,0,0
30,abrogates,0,0,0,0
31,abrogating,0,0,0,0
32,abrogation,0,0,0,0
33,abrogations,0,0,0,0
34,abrupt,0,0,0,1
35,abruptly,0,0,0,1
36,abruptness,0,0,0,0
37,absence,0,0,0,1
38,absences,0,0,0,0
39,absenteeism,0,0,0,1
40,absolve,0,0,0,0
41,absolved,0,0,0,0
42,absolves,0,0,0,0
43,absolving,0,0,0,0
44,abundance,0,0,0,0
45,abundant,0,0,1,0
46,abuse,0,0,0,0
47,abused,0,0,0,1
48,abuses,0,0,0,1
49,abusing,0,0,0,1
50,abusive,0,0,0,1
51,abusively,0,0,0,0
52,abusiveness,0,0,0,0
53,accession,0,0,0,0
54,accessions,0,0,0,0
55,accident,0,0,0,0
56,accidental,0,0,0,1
57,accidentally,0,0,0,1
58,accidents,0,0,0,1
59,acclaimed,0,0,0,0
60,accomplish,0,0,1,0
61,accomplished,0,0,1,0
62,accomplishes,0,0,1,0
63,accomplishing,0,0,0,0
64,accomplishment,0,0,1,0
65,accomplishments,0,0,1,0
66,accusation,0,0,0,0
67,accusations,0,0,0,0
68,accuse,0,0,0,0
69,accused,0,0,0,1
70,accuses,0,0,0,0
71,accusing,0,0,0,0
72,achieve,0,0,1,0
73,achieved,0,0,1,0
74,achievement,0,0,1,0
75,achievements,0,0,0,0
76,achieves,0,0,1,0
77,achieving,0,0,1,0
78,acquiesce,0,0,0,0
79,acquiesced,0,0,0,1
80,acquiesces,0,0,0,0
81,acquiescing,0,0,0,0
82,acquirees,0,0,0,0
83,acquirors,0,0,0,0
84,acquit,0,0,0,0
85,acquits,0,0,0,0
86,acquittal,0,0,0,0
87,acquittals,0,0,0,0
88,acquittance,0,0,0,0
89,acquittances,0,0,0,0
90,acquitted,0,0,0,0
91,acquitting,0,0,0,0
92,addendums,0,1,0,0
93,adequately,0,0,0,0
94,adjourn,0,1,0,0
95,adjourned,0,0,0,0
96,adjourning,0,0,0,0
97,adjournment,0,1,0,0
98,adjournments,0,0,0,0
99,adjourns,0,0,0,0
100,adjudge,0,0,0,0
101,adjudged,0,0,0,0
102,adjudges,0,0,0,0
103,adjudging,0,0,0,0
104,adjudicate,0,1,0,0
105,adjudicated,0,0,0,0
106,adjudicates,0,0,0,0
107,adjudicating,0,1,0,0
108,adjudication,0,1,0,0
109,adjudications,0,0,0,0
110,adjudicative,0,0,0,0
111,adjudicator,0,0,0,0
112,adjudicators,0,0,0,0
113,adjudicatory,0,1,0,0
114,admissibility,0,0,0,0
115,admissible,0,1,0,0
116,admissibly,0,0,0,0
117,admission,0,0,0,0
118,admissions,0,0,0,0
119,adulterate,0,0,0,0
120,adulterated,0,0,0,1
121,adulterating,0,0,0,0
122,adulteration,0,0,0,1
123,adulterations,0,0,0,0
124,advancement,0,0,1,0
125,advancements,0,0,1,0
126,advances,0,0,0,0
127,advancing,0,0,1,0
128,advantage,0,0,1,0
129,advantaged,0,0,0,0
130,advantageous,0,0,1,0
131,advantageously,0,0,0,0
132,advantages,0,0,1,0
133,adversarial,0,0,0,0
134,adversaries,0,0,0,0
135,adversary,0,0,0,0
136,adverse,0,0,0,0
137,adversely,0,0,0,1
138,adversities,0,0,0,1
139,adversity,0,0,0,0
140,affidavit,0,1,0,0
141,affidavits,0,1,0,0
142,affirmance,0,1,0,0
143,affreightment,0,0,0,0
144,aforedescribed,0,0,0,0
145,aforementioned,0,0,0,0
146,aforesaid,0,1,0,0
147,aforestated,0,0,0,0
148,aftermath,0,0,0,1
149,aftermaths,0,0,0,0
150,against,0,0,0,0
151,aggravate,0,0,0,1
152,aggravated,0,0,0,1
153,aggravates,0,0,0,0
154,aggravating,0,0,0,1
155,aggravation,0,0,0,1
156,aggravations,0,0,0,0
157,aggrieved,0,0,0,0
158,alerted,0,0,0,1
159,alerting,0,0,0,1
160,alienate,0,0,0,1
161,alienated,0,0,0,0
162,alienates,0,0,0,0
163,alienating,0,0,0,0
164,alienation,0,0,0,0
165,alienations,0,0,0,0
166,allegation,0,0,0,0
167,allegations,0,0,0,0
168,allege,0,0,0,0
169,alleged,0,0,0,0
170,allegedly,0,0,0,1
171,alleges,0,0,0,0
172,alleging,0,0,0,0
173,alliance,0,0,1,0
174,alliances,0,0,1,0
175,almost,0,0,0,0
176,alteration,0,0,0,0
177,alterations,0,0,0,0
178,ambiguities,0,0,0,0
179,ambiguity,0,0,0,0
180,ambiguous,0,0,0,0
181,amend,0,1,0,0
182,amendable,0,0,0,0
183,amendatory,0,1,0,0
184,amended,0,1,0,0
185,amending,0,0,0,0
186,amendment,0,1,0,0
187,amendments,0,0,0,0
188,amends,0,0,0,0
189,annoy,0,0,0,0
190,annoyance,0,0,0,0
191,annoyances,0,0,0,0
192,annoyed,0,0,0,0
193,annoying,0,0,0,1
194,annoys,0,0,0,0
195,annul,0,0,0,0
196,annulled,0,1,0,0
197,annulling,0,0,0,0
198,annulment,0,1,0,0
199,annulments,0,0,0,0
200,annuls,0,0,0,0
201,anomalies,0,0,0,0
202,anomalous,0,0,0,0
203,anomalously,0,0,0,0
204,anomaly,0,0,0,1
205,antecedent,0,0,0,0
206,antecedents,0,0,0,0
207,anticipate,1,0,0,0
208,anticipated,1,0,0,0
209,anticipates,1,0,0,0
210,anticipating,0,0,0,0
211,anticipation,0,0,0,0
212,anticipations,0,0,0,0
213,anticompetitive,0,0,0,1
214,anticorruption,0,0,0,0
215,antitrust,0,0,0,0
216,anywise,0,0,0,0
217,apparent,0,0,0,0
218,apparently,0,0,0,1
219,appeal,0,0,0,0
220,appealable,0,0,0,0
221,appealed,0,0,0,0
222,appealing,0,0,1,0
223,appeals,0,1,0,0
224,appear,0,0,0,0
225,appeared,0,0,0,0
226,appearing,0,0,0,0
227,appears,1,0,0,0
228,appellant,0,0,0,0
229,appellants,0,1,0,0
230,appellate,0,1,0,0
231,appellees,0,0,0,0
232,appointor,0,0,0,0
233,approximate,1,0,0,0
234,approximated,1,0,0,0
235,approximately,1,0,0,0
236,approximates,1,0,0,0
237,approximating,1,0,0,0
238,approximation,0,0,0,0
239,approximations,1,0,0,0
240,appurtenance,0,0,0,0
241,appurtenances,0,0,0,0
242,appurtenant,0,0,0,0
243,arbitrability,0,0,0,0
244,arbitral,0,0,0,0
245,arbitrarily,0,0,0,0
246,arbitrariness,0,0,0,0
247,arbitrary,0,0,0,0
248,arbitrate,0,1,0,0
249,arbitrated,0,1,0,0
250,arbitrates,0,0,0,0
251,arbitrating,0,1,0,0
252,arbitration,0,1,0,0
253,arbitrational,0,0,0,0
254,arbitrations,0,1,0,0
255,arbitrative,0,0,0,0
256,arbitrator,0,1,0,0
257,arbitrators,0,1,0,0
258,argue,0,0,0,1
259,argued,0,0,0,0
260,arguing,0,0,0,0
261,argument,0,0,0,0
262,argumentative,0,0,0,0
263,arguments,0,0,0,0
264,arrearage,0,0,0,0
265,arrearages,0,0,0,0
266,arrears,0,0,0,0
267,arrest,0,0,0,1
268,arrested,0,0,0,1
269,arrests,0,0,0,0
270,artificially,0,0,0,1
271,ascendancy,0,0,0,0
272,ascendant,0,0,0,0
273,ascendants,0,0,0,0
274,assault,0,0,0,0
275,assaulted,0,0,0,0
276,assaulting,0,0,0,0
277,assaults,0,0,0,1
278,assertable,0,0,0,0
279,assertions,0,0,0,0
280,assignation,0,0,0,0
281,assignations,0,0,0,0
282,assumable,0,0,0,0
283,assume,1,0,0,0
284,assumed,1,0,0,0
285,assumes,1,0,0,0
286,assuming,1,0,0,0
287,assumption,1,0,0,0
288,assumptions,1,0,0,0
